utc,steptype,heatread
29/08/2017 12:50,2,161.5
29/08/2017 12:50,2,161.5
29/08/2017 12:50,2,161.9
29/08/2017 12:50,2,161.9
29/08/2017 12:50,2,162.2
29/08/2017 12:50,2,162.2
29/08/2017 12:50,2,162.4
29/08/2017 12:50,2,162.4
29/08/2017 12:50,2,162.7
29/08/2017 12:50,2,162.7
29/08/2017 12:50,2,163
29/08/2017 12:50,2,163
29/08/2017 12:50,2,163.2
29/08/2017 12:50,2,163.2
29/08/2017 12:50,2,163.4
29/08/2017 12:50,2,163.4
29/08/2017 12:50,2,163.6
29/08/2017 12:50,2,163.6
29/08/2017 12:50,2,163.9
29/08/2017 12:50,2,163.9
29/08/2017 12:50,2,164.1
29/08/2017 12:50,2,164.1
29/08/2017 12:51,2,164.2
29/08/2017 12:51,2,164.2
29/08/2017 12:51,2,164.3
29/08/2017 12:51,2,164.3
29/08/2017 12:51,2,164.5
29/08/2017 12:51,2,164.5
29/08/2017 12:51,2,164.6
29/08/2017 12:51,2,164.6
29/08/2017 12:51,2,164.8
29/08/2017 12:51,2,164.8
29/08/2017 12:51,2,164.9
29/08/2017 12:51,2,164.9
29/08/2017 12:51,2,165
29/08/2017 12:51,2,165
29/08/2017 12:51,2,165.1
29/08/2017 12:51,2,165.1
29/08/2017 12:51,2,165.3
29/08/2017 12:51,2,165.3
29/08/2017 12:51,2,165.4
29/08/2017 12:51,2,165.4
29/08/2017 12:51,2,165.5
29/08/2017 12:51,2,165.5
29/08/2017 12:51,2,165.5
29/08/2017 12:51,2,165.5
29/08/2017 12:51,2,165.6
29/08/2017 12:51,2,165.6
29/08/2017 12:51,2,165.7
29/08/2017 12:51,2,165.7
29/08/2017 12:51,2,165.8
29/08/2017 12:51,2,165.8
29/08/2017 12:51,2,166
29/08/2017 12:51,2,166
29/08/2017 12:51,2,166.1
29/08/2017 12:51,2,166.1
29/08/2017 12:51,2,166.2
29/08/2017 12:51,2,166.2
29/08/2017 12:51,2,166.3
29/08/2017 12:51,2,166.3
29/08/2017 12:51,2,166.3
29/08/2017 12:51,2,166.3
29/08/2017 12:51,2,166.5
29/08/2017 12:51,2,166.5
29/08/2017 12:51,2,166.6
29/08/2017 12:51,2,166.6
29/08/2017 12:51,2,166.7
29/08/2017 12:51,2,166.7
29/08/2017 12:51,2,166.8
29/08/2017 12:51,2,166.8
29/08/2017 12:51,2,166.9
29/08/2017 12:51,2,166.9
29/08/2017 12:51,2,167
29/08/2017 12:51,2,167
29/08/2017 12:51,2,167
29/08/2017 12:51,2,167
29/08/2017 12:51,2,167.1
29/08/2017 12:51,2,167.1
29/08/2017 12:51,2,167.1
29/08/2017 12:51,2,167.1
29/08/2017 12:51,2,167.1
29/08/2017 12:51,2,167.1
29/08/2017 12:52,2,167.2
29/08/2017 12:52,2,167.2
29/08/2017 12:52,2,167.4
29/08/2017 12:52,2,167.4
29/08/2017 12:52,2,167.5
29/08/2017 12:52,2,167.5
29/08/2017 12:52,2,167.5
29/08/2017 12:52,2,167.5
29/08/2017 12:52,2,167.6
29/08/2017 12:52,2,167.6
29/08/2017 12:52,2,167.6
29/08/2017 12:52,2,167.6
29/08/2017 12:52,2,167.7
29/08/2017 12:52,2,167.7
29/08/2017 12:52,2,167.8
29/08/2017 12:52,2,167.8
29/08/2017 12:52,2,167.8
29/08/2017 12:52,2,167.8
29/08/2017 12:52,2,168
29/08/2017 12:52,2,168
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,168
29/08/2017 12:52,2,168
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,167.9
29/08/2017 12:52,2,167.9
29/08/2017 12:52,2,168
29/08/2017 12:52,2,168
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,168.1
29/08/2017 12:52,2,168.2
29/08/2017 12:52,2,168.2
29/08/2017 12:52,2,168.2
29/08/2017 12:52,2,168.2
29/08/2017 12:52,2,168.3
29/08/2017 12:52,2,168.3
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.4
29/08/2017 12:52,2,168.5
29/08/2017 12:52,2,168.5
29/08/2017 12:52,2,168.5
29/08/2017 12:52,2,168.5
29/08/2017 12:52,2,168.5
29/08/2017 12:52,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.5
29/08/2017 12:53,2,168.6
29/08/2017 12:53,2,168.6
29/08/2017 12:53,2,168.7
29/08/2017 12:53,2,168.7
29/08/2017 12:53,2,168.8
29/08/2017 12:53,2,168.8
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,169
29/08/2017 12:53,2,169
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,169
29/08/2017 12:53,2,169
29/08/2017 12:53,2,169
29/08/2017 12:53,2,169
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,168.9
29/08/2017 12:53,2,169
29/08/2017 12:53,2,169
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
29/08/2017 12:53,2,169.1
